82.8650 / Dec 16, 2022 11:15:00
82.8600 / Dec 16, 2022 11:16:00
82.8600 / Dec 16, 2022 11:17:00
82.8600 / Dec 16, 2022 11:18:00
82.8450 / Dec 16, 2022 11:19:00
82.8450 / Dec 16, 2022 11:20:00
82.8500 / Dec 16, 2022 11:21:00
82.8500 / Dec 16, 2022 11:22:00
82.8450 / Dec 16, 2022 11:23:00
82.8275 / Dec 16, 2022 11:24:00
82.8400 / Dec 16, 2022 11:25:00
82.8450 / Dec 16, 2022 11:26:00
82.8450 / Dec 16, 2022 11:27:00
82.8525 / Dec 16, 2022 11:28:00
82.8525 / Dec 16, 2022 11:29:00
-------------------------------------------------------------------------------------------------------------
82.8475 / Dec 16, 2022 11:30:00
82.8225 / Dec 16, 2022 11:31:00
82.8250 / Dec 16, 2022 11:32:00
82.8250 / Dec 16, 2022 11:33:00
82.8000 / Dec 16, 2022 11:34:00
82.7800 / Dec 16, 2022 11:35:00
82.8000 / Dec 16, 2022 11:36:00
82.8000 / Dec 16, 2022 11:37:00
82.7900 / Dec 16, 2022 11:38:00
82.7950 / Dec 16, 2022 11:39:00
82.8050 / Dec 16, 2022 11:40:00
82.8050 / Dec 16, 2022 11:41:00
82.8100 / Dec 16, 2022 11:42:00
82.8175 / Dec 16, 2022 11:43:00
82.8150 / Dec 16, 2022 11:44:00
82.8150 / Dec 16, 2022 11:45:00
82.8125 / Dec 16, 2022 11:46:00
82.8250 / Dec 16, 2022 11:47:00
82.8250 / Dec 16, 2022 11:48:00
