82.6600 / Mar 16, 2023 11:15:00
82.6525 / Mar 16, 2023 11:16:00
82.6400 / Mar 16, 2023 11:17:00
82.6550 / Mar 16, 2023 11:18:00
82.6750 / Mar 16, 2023 11:19:00
82.6850 / Mar 16, 2023 11:20:00
82.6650 / Mar 16, 2023 11:21:00
82.6700 / Mar 16, 2023 11:22:00
82.6700 / Mar 16, 2023 11:23:00
82.6700 / Mar 16, 2023 11:24:00
82.6625 / Mar 16, 2023 11:25:00
82.6625 / Mar 16, 2023 11:26:00
82.6650 / Mar 16, 2023 11:27:00
82.6825 / Mar 16, 2023 11:28:00
82.6825 / Mar 16, 2023 11:29:00
-------------------------------------------------------------------------------------------------------------
82.6750 / Mar 16, 2023 11:30:00
82.6650 / Mar 16, 2023 11:31:00
82.6550 / Mar 16, 2023 11:32:00
